"","X","ID","Age.3","Stimuli","Trial","Gender","Condition","Answer"
"56",416,6,"7-8 group","C",2,"Female","No Evidence",1
"57",417,6,"7-8 group","C",3,"Female","Strong Evidence",0
"58",418,6,"7-8 group","C",4,"Female","Strong Evidence",0
"59",419,6,"7-8 group","C",5,"Female","Counter Evidence",1
"60",420,6,"7-8 group","C",6,"Female","Counter Evidence",1
"61",671,7,"5-6 group","C",NA,"Male","Action Possible",1
"62",672,7,"5-6 group","C",NA,"Male","Action Impossible",0
"63",673,7,"5-6 group","C",NA,"Male","Action Impossible",0
"64",674,7,"5-6 group","C",NA,"Male","Action Possible",1
"65",675,7,"5-6 group","C",1,"Male","No Evidence",1
"66",676,7,"5-6 group","C",2,"Male","No Evidence",0
"67",677,7,"5-6 group","C",3,"Male","Strong Evidence",NA
"68",678,7,"5-6 group","C",4,"Male","Strong Evidence",NA
"69",679,7,"5-6 group","C",5,"Male","Counter Evidence",NA
"70",680,7,"5-6 group","C",6,"Male","Counter Evidence",1
"71",691,8,"7-8 group","B",NA,"Male","Action Possible",1
"72",692,8,"7-8 group","B",NA,"Male","Action Impossible",0
"73",693,8,"7-8 group","B",NA,"Male","Action Impossible",0
"74",694,8,"7-8 group","B",NA,"Male","Action Possible",1
"75",695,8,"7-8 group","B",1,"Male","No Evidence",1
"76",696,8,"7-8 group","B",2,"Male","No Evidence",1
"77",697,8,"7-8 group","B",3,"Male","Strong Evidence",0
"78",698,8,"7-8 group","B",4,"Male","Strong Evidence",0
"79",699,8,"7-8 group","B",5,"Male","Counter Evidence",1
"80",700,8,"7-8 group","B",6,"Male","Counter Evidence",1
"81",561,9,"7-8 group","A",NA,"Male","Action Possible",1
"82",562,9,"7-8 group","A",NA,"Male","Action Impossible",0
"83",563,9,"7-8 group","A",NA,"Male","Action Impossible",0
"84",564,9,"7-8 group","A",NA,"Male","Action Possible",1
"85",565,9,"7-8 group","A",1,"Male","No Evidence",1
"86",566,9,"7-8 group","A",2,"Male","No Evidence",1
"87",567,9,"7-8 group","A",3,"Male","Strong Evidence",0
"88",568,9,"7-8 group","A",4,"Male","Strong Evidence",1
"89",569,9,"7-8 group","A",5,"Male","Counter Evidence",1
"90",570,9,"7-8 group","A",6,"Male","Counter Evidence",1
"91",431,10,"7-8 group","B",NA,"Female","Action Possible",1
"92",432,10,"7-8 group","B",NA,"Female","Action Impossible",0
"93",433,10,"7-8 group","B",NA,"Female","Action Impossible",0
"94",434,10,"7-8 group","B",NA,"Female","Action Possible",1
"95",435,10,"7-8 group","B",1,"Female","No Evidence",1
"96",436,10,"7-8 group","B",2,"Female","No Evidence",1
"97",437,10,"7-8 group","B",3,"Female","Strong Evidence",1
"98",438,10,"7-8 group","B",4,"Female","Strong Evidence",1
"99",439,10,"7-8 group","B",5,"Female","Counter Evidence",1
"100",440,10,"7-8 group","B",6,"Female","Counter Evidence",1
"101",531,11,"7-8 group","C",NA,"Male","Action Possible",1
"102",532,11,"7-8 group","C",NA,"Male","Action Impossible",0
"103",533,11,"7-8 group","C",NA,"Male","Action Impossible",0
"104",534,11,"7-8 group","C",NA,"Male","Action Possible",1
"105",535,11,"7-8 group","C",1,"Male","No Evidence",1
"106",536,11,"7-8 group","C",2,"Male","No Evidence",1
"107",537,11,"7-8 group","C",3,"Male","Strong Evidence",0
"108",538,11,"7-8 group","C",4,"Male","Strong Evidence",0
"109",539,11,"7-8 group","C",5,"Male","Counter Evidence",1
"110",540,11,"7-8 group","C",6,"Male","Counter Evidence",1
"111",241,12,"7-8 group","B",NA,"Female","Action Possible",1
"112",242,12,"7-8 group","B",NA,"Female","Action Impossible",0
"113",243,12,"7-8 group","B",NA,"Female","Action Impossible",0
"114",244,12,"7-8 group","B",NA,"Female","Action Possible",1
"115",245,12,"7-8 group","B",1,"Female","No Evidence",1
"116",246,12,"7-8 group","B",2,"Female","No Evidence",1
"117",247,12,"7-8 group","B",3,"Female","Strong Evidence",1
"118",248,12,"7-8 group","B",4,"Female","Strong Evidence",1
"119",249,12,"7-8 group","B",5,"Female","Counter Evidence",1
"120",250,12,"7-8 group","B",6,"Female","Counter Evidence",1
"121",291,13,"7-8 group","B",NA,"Female","Action Possible",1
"122",292,13,"7-8 group","B",NA,"Female","Action Impossible",0
"123",293,13,"7-8 group","B",NA,"Female","Action Impossible",0
"124",294,13,"7-8 group","B",NA,"Female","Action Possible",1
"125",295,13,"7-8 group","B",1,"Female","No Evidence",1
"126",296,13,"7-8 group","B",2,"Female","No Evidence",1
"127",297,13,"7-8 group","B",3,"Female","Strong Evidence",1
"128",298,13,"7-8 group","B",4,"Female","Strong Evidence",1
"129",299,13,"7-8 group","B",5,"Female","Counter Evidence",1
"130",300,13,"7-8 group","B",6,"Female","Counter Evidence",1
"131",191,14,"5-6 group","B",NA,"Female","Action Possible",1
"132",192,14,"5-6 group","B",NA,"Female","Action Impossible",0
"133",193,14,"5-6 group","B",NA,"Female","Action Impossible",0
"134",194,14,"5-6 group","B",NA,"Female","Action Possible",1
"135",195,14,"5-6 group","B",1,"Female","No Evidence",1
"136",196,14,"5-6 group","B",2,"Female","No Evidence",1
"137",197,14,"5-6 group","B",3,"Female","Strong Evidence",0
"138",198,14,"5-6 group","B",4,"Female","Strong Evidence",0
"139",199,14,"5-6 group","B",5,"Female","Counter Evidence",1
"140",200,14,"5-6 group","B",6,"Female","Counter Evidence",1
"141",201,15,"7-8 group","A",NA,"Male","Action Possible",1
"142",202,15,"7-8 group","A",NA,"Male","Action Impossible",0
"143",203,15,"7-8 group","A",NA,"Male","Action Impossible",0
"144",204,15,"7-8 group","A",NA,"Male","Action Possible",1
"145",205,15,"7-8 group","A",1,"Male","No Evidence",1
"146",206,15,"7-8 group","A",2,"Male","No Evidence",1
"147",207,15,"7-8 group","A",3,"Male","Strong Evidence",1
"148",208,15,"7-8 group","A",4,"Male","Strong Evidence",0
"149",209,15,"7-8 group","A",5,"Male","Counter Evidence",1
"150",210,15,"7-8 group","A",6,"Male","Counter Evidence",1
"151",71,16,"7-8 group","B",NA,"Male","Action Possible",1
"152",72,16,"7-8 group","B",NA,"Male","Action Impossible",0
"153",73,16,"7-8 group","B",NA,"Male","Action Impossible",0
"154",74,16,"7-8 group","B",NA,"Male","Action Possible",1
"155",75,16,"7-8 group","B",1,"Male","No Evidence",1
"156",76,16,"7-8 group","B",2,"Male","No Evidence",1
"157",77,16,"7-8 group","B",3,"Male","Strong Evidence",0
"158",78,16,"7-8 group","B",4,"Male","Strong Evidence",0
"159",79,16,"7-8 group","B",5,"Male","Counter Evidence",1
"160",80,16,"7-8 group","B",6,"Male","Counter Evidence",1
"161",601,17,"7-8 group","C",NA,"Female","Action Possible",0
"162",602,17,"7-8 group","C",NA,"Female","Action Impossible",0
"163",603,17,"7-8 group","C",NA,"Female","Action Impossible",0
"164",604,17,"7-8 group","C",NA,"Female","Action Possible",0
"165",605,17,"7-8 group","C",1,"Female","No Evidence",1
"166",606,17,"7-8 group","C",2,"Female","No Evidence",1
"167",607,17,"7-8 group","C",3,"Female","Strong Evidence",0
"168",608,17,"7-8 group","C",4,"Female","Strong Evidence",0
"169",609,17,"7-8 group","C",5,"Female","Counter Evidence",1
"170",610,17,"7-8 group","C",6,"Female","Counter Evidence",0
"171",341,18,"7-8 group","B",NA,"Female","Action Possible",1
"172",342,18,"7-8 group","B",NA,"Female","Action Impossible",0
"173",343,18,"7-8 group","B",NA,"Female","Action Impossible",1
"174",344,18,"7-8 group","B",NA,"Female","Action Possible",1
"175",345,18,"7-8 group","B",1,"Female","No Evidence",0
"176",346,18,"7-8 group","B",2,"Female","No Evidence",0
"177",347,18,"7-8 group","B",3,"Female","Strong Evidence",0
"178",348,18,"7-8 group","B",4,"Female","Strong Evidence",NA
"179",349,18,"7-8 group","B",5,"Female","Counter Evidence",NA
"180",350,18,"7-8 group","B",6,"Female","Counter Evidence",1
"181",501,19,"7-8 group","A",NA,"Female","Action Possible",1
"182",502,19,"7-8 group","A",NA,"Female","Action Impossible",0
"183",503,19,"7-8 group","A",NA,"Female","Action Impossible",0
"184",504,19,"7-8 group","A",NA,"Female","Action Possible",1
"185",505,19,"7-8 group","A",1,"Female","No Evidence",1
"186",506,19,"7-8 group","A",2,"Female","No Evidence",1
"187",507,19,"7-8 group","A",3,"Female","Strong Evidence",0
"188",508,19,"7-8 group","A",4,"Female","Strong Evidence",0
"189",509,19,"7-8 group","A",5,"Female","Counter Evidence",1
"190",510,19,"7-8 group","A",6,"Female","Counter Evidence",1
"191",651,20,"5-6 group","A",NA,"Male","Action Possible",1
"192",652,20,"5-6 group","A",NA,"Male","Action Impossible",0
"193",653,20,"5-6 group","A",NA,"Male","Action Impossible",0
"194",654,20,"5-6 group","A",NA,"Male","Action Possible",1
"195",655,20,"5-6 group","A",1,"Male","No Evidence",1
"196",656,20,"5-6 group","A",2,"Male","No Evidence",1
"197",657,20,"5-6 group","A",3,"Male","Strong Evidence",1
"198",658,20,"5-6 group","A",4,"Male","Strong Evidence",1
"199",659,20,"5-6 group","A",5,"Male","Counter Evidence",1
"200",660,20,"5-6 group","A",6,"Male","Counter Evidence",1
"201",551,21,"7-8 group","B",NA,"Female","Action Possible",1
"202",552,21,"7-8 group","B",NA,"Female","Action Impossible",0
"203",553,21,"7-8 group","B",NA,"Female","Action Impossible",0
"204",554,21,"7-8 group","B",NA,"Female","Action Possible",1
"205",555,21,"7-8 group","B",1,"Female","No Evidence",0
"206",556,21,"7-8 group","B",2,"Female","No Evidence",1
"207",557,21,"7-8 group","B",3,"Female","Strong Evidence",1
"208",558,21,"7-8 group","B",4,"Female","Strong Evidence",1
"209",559,21,"7-8 group","B",5,"Female","Counter Evidence",1
"210",560,21,"7-8 group","B",6,"Female","Counter Evidence",1
"211",301,22,"5-6 group","A",NA,"Male","Action Possible",1
"212",302,22,"5-6 group","A",NA,"Male","Action Impossible",0
"213",303,22,"5-6 group","A",NA,"Male","Action Impossible",0
"214",304,22,"5-6 group","A",NA,"Male","Action Possible",1
"215",305,22,"5-6 group","A",1,"Male","No Evidence",1
"216",306,22,"5-6 group","A",2,"Male","No Evidence",1
"217",307,22,"5-6 group","A",3,"Male","Strong Evidence",1
"218",308,22,"5-6 group","A",4,"Male","Strong Evidence",0
"219",309,22,"5-6 group","A",5,"Male","Counter Evidence",1
"220",310,22,"5-6 group","A",6,"Male","Counter Evidence",1
"221",611,23,"5-6 group","C",NA,"Female","Action Possible",1
"222",612,23,"5-6 group","C",NA,"Female","Action Impossible",0
"223",613,23,"5-6 group","C",NA,"Female","Action Impossible",0
"224",614,23,"5-6 group","C",NA,"Female","Action Possible",1
"225",615,23,"5-6 group","C",1,"Female","No Evidence",1
"226",616,23,"5-6 group","C",2,"Female","No Evidence",1
"227",617,23,"5-6 group","C",3,"Female","Strong Evidence",0
"228",618,23,"5-6 group","C",4,"Female","Strong Evidence",1
"229",619,23,"5-6 group","C",5,"Female","Counter Evidence",1
"230",620,23,"5-6 group","C",6,"Female","Counter Evidence",1
"231",741,24,"5-6 group","A",NA,"Female","Action Possible",1
"232",742,24,"5-6 group","A",NA,"Female","Action Impossible",0
"233",743,24,"5-6 group","A",NA,"Female","Action Impossible",0
"234",744,24,"5-6 group","A",NA,"Female","Action Possible",1
"235",745,24,"5-6 group","A",1,"Female","No Evidence",1
"236",746,24,"5-6 group","A",2,"Female","No Evidence",1
"237",747,24,"5-6 group","A",3,"Female","Strong Evidence",1
"238",748,24,"5-6 group","A",4,"Female","Strong Evidence",0
"239",749,24,"5-6 group","A",5,"Female","Counter Evidence",1
"240",750,24,"5-6 group","A",6,"Female","Counter Evidence",1
"241",281,25,"5-6 group","A",NA,"Male","Action Possible",1
"242",282,25,"5-6 group","A",NA,"Male","Action Impossible",0
"243",283,25,"5-6 group","A",NA,"Male","Action Impossible",0
"244",284,25,"5-6 group","A",NA,"Male","Action Possible",1
"245",285,25,"5-6 group","A",1,"Male","No Evidence",1
"246",286,25,"5-6 group","A",2,"Male","No Evidence",1
"247",287,25,"5-6 group","A",3,"Male","Strong Evidence",0
"248",288,25,"5-6 group","A",4,"Male","Strong Evidence",0
"249",289,25,"5-6 group","A",5,"Male","Counter Evidence",1
"250",290,25,"5-6 group","A",6,"Male","Counter Evidence",1
"251",91,26,"5-6 group","B",NA,"Male","Action Possible",1
"252",92,26,"5-6 group","B",NA,"Male","Action Impossible",0
"253",93,26,"5-6 group","B",NA,"Male","Action Impossible",0
"254",94,26,"5-6 group","B",NA,"Male","Action Possible",1
"255",95,26,"5-6 group","B",1,"Male","No Evidence",1
"256",96,26,"5-6 group","B",2,"Male","No Evidence",1
"257",97,26,"5-6 group","B",3,"Male","Strong Evidence",0
"258",98,26,"5-6 group","B",4,"Male","Strong Evidence",1
"259",99,26,"5-6 group","B",5,"Male","Counter Evidence",1
"260",100,26,"5-6 group","B",6,"Male","Counter Evidence",1
"261",791,27,"7-8 group","C",NA,"Female","Action Possible",1
"262",792,27,"7-8 group","C",NA,"Female","Action Impossible",0
"263",793,27,"7-8 group","C",NA,"Female","Action Impossible",0
"264",794,27,"7-8 group","C",NA,"Female","Action Possible",1
"265",795,27,"7-8 group","C",1,"Female","No Evidence",1
"266",796,27,"7-8 group","C",2,"Female","No Evidence",1
"267",797,27,"7-8 group","C",3,"Female","Strong Evidence",0
"268",798,27,"7-8 group","C",4,"Female","Strong Evidence",0
"269",799,27,"7-8 group","C",5,"Female","Counter Evidence",1
"270",800,27,"7-8 group","C",6,"Female","Counter Evidence",1
"271",731,28,"7-8 group","A",NA,"Male","Action Possible",1
"272",732,28,"7-8 group","A",NA,"Male","Action Impossible",0
"273",733,28,"7-8 group","A",NA,"Male","Action Impossible",0
"274",734,28,"7-8 group","A",NA,"Male","Action Possible",1
"275",735,28,"7-8 group","A",1,"Male","No Evidence",0
"276",736,28,"7-8 group","A",2,"Male","No Evidence",1
"277",737,28,"7-8 group","A",3,"Male","Strong Evidence",0
"278",738,28,"7-8 group","A",4,"Male","Strong Evidence",0
"279",739,28,"7-8 group","A",5,"Male","Counter Evidence",1
"280",740,28,"7-8 group","A",6,"Male","Counter Evidence",1
"281",311,29,"7-8 group","B",NA,"Male","Action Possible",1
"282",312,29,"7-8 group","B",NA,"Male","Action Impossible",0
"283",313,29,"7-8 group","B",NA,"Male","Action Impossible",0
"284",314,29,"7-8 group","B",NA,"Male","Action Possible",1
"285",315,29,"7-8 group","B",1,"Male","No Evidence",1
"286",316,29,"7-8 group","B",2,"Male","No Evidence",1
"287",317,29,"7-8 group","B",3,"Male","Strong Evidence",1
"288",318,29,"7-8 group","B",4,"Male","Strong Evidence",1
"289",319,29,"7-8 group","B",5,"Male","Counter Evidence",1
"290",320,29,"7-8 group","B",6,"Male","Counter Evidence",1
"291",581,30,"7-8 group","B",NA,"Male","Action Possible",1
"292",582,30,"7-8 group","B",NA,"Male","Action Impossible",0
"293",583,30,"7-8 group","B",NA,"Male","Action Impossible",0
"294",584,30,"7-8 group","B",NA,"Male","Action Possible",1
"295",585,30,"7-8 group","B",1,"Male","No Evidence",1
"296",586,30,"7-8 group","B",2,"Male","No Evidence",1
"297",587,30,"7-8 group","B",3,"Male","Strong Evidence",0
"298",588,30,"7-8 group","B",4,"Male","Strong Evidence",0
"299",589,30,"7-8 group","B",5,"Male","Counter Evidence",1
"300",590,30,"7-8 group","B",6,"Male","Counter Evidence",1
"301",481,31,"7-8 group","C",NA,"Male","Action Possible",1
"302",482,31,"7-8 group","C",NA,"Male","Action Impossible",0
"303",483,31,"7-8 group","C",NA,"Male","Action Impossible",0
"304",484,31,"7-8 group","C",NA,"Male","Action Possible",1
"305",485,31,"7-8 group","C",1,"Male","No Evidence",1
"306",486,31,"7-8 group","C",2,"Male","No Evidence",1
"307",487,31,"7-8 group","C",3,"Male","Strong Evidence",1
"308",488,31,"7-8 group","C",4,"Male","Strong Evidence",0
"309",489,31,"7-8 group","C",5,"Male","Counter Evidence",1
"310",490,31,"7-8 group","C",6,"Male","Counter Evidence",1
"311",11,32,"5-6 group","C",NA,"Female","Action Possible",1
"312",12,32,"5-6 group","C",NA,"Female","Action Impossible",0
"313",13,32,"5-6 group","C",NA,"Female","Action Impossible",0
"314",14,32,"5-6 group","C",NA,"Female","Action Possible",1
"315",15,32,"5-6 group","C",1,"Female","No Evidence",1
"316",16,32,"5-6 group","C",2,"Female","No Evidence",1
"317",17,32,"5-6 group","C",3,"Female","Strong Evidence",1
"318",18,32,"5-6 group","C",4,"Female","Strong Evidence",1
"319",19,32,"5-6 group","C",5,"Female","Counter Evidence",1
"320",20,32,"5-6 group","C",6,"Female","Counter Evidence",1
"321",711,33,"7-8 group","A",NA,"Male","Action Possible",1
"322",712,33,"7-8 group","A",NA,"Male","Action Impossible",0
"323",713,33,"7-8 group","A",NA,"Male","Action Impossible",0
"324",714,33,"7-8 group","A",NA,"Male","Action Possible",1
"325",715,33,"7-8 group","A",1,"Male","No Evidence",1
"326",716,33,"7-8 group","A",2,"Male","No Evidence",1
"327",717,33,"7-8 group","A",3,"Male","Strong Evidence",1
"328",718,33,"7-8 group","A",4,"Male","Strong Evidence",1
"329",719,33,"7-8 group","A",5,"Male","Counter Evidence",0
"330",720,33,"7-8 group","A",6,"Male","Counter Evidence",0
"331",261,34,"5-6 group","B",NA,"Female","Action Possible",1
"332",262,34,"5-6 group","B",NA,"Female","Action Impossible",0
"333",263,34,"5-6 group","B",NA,"Female","Action Impossible",0
"334",264,34,"5-6 group","B",NA,"Female","Action Possible",1
"335",265,34,"5-6 group","B",1,"Female","No Evidence",1
"336",266,34,"5-6 group","B",2,"Female","No Evidence",1
"337",267,34,"5-6 group","B",3,"Female","Strong Evidence",1
"338",268,34,"5-6 group","B",4,"Female","Strong Evidence",1
"339",269,34,"5-6 group","B",5,"Female","Counter Evidence",1
"340",270,34,"5-6 group","B",6,"Female","Counter Evidence",1
"341",641,35,"7-8 group","C",NA,"Female","Action Possible",1
"342",642,35,"7-8 group","C",NA,"Female","Action Impossible",0
"343",643,35,"7-8 group","C",NA,"Female","Action Impossible",0
"344",644,35,"7-8 group","C",NA,"Female","Action Possible",1
"345",645,35,"7-8 group","C",1,"Female","No Evidence",1
"346",646,35,"7-8 group","C",2,"Female","No Evidence",1
"347",647,35,"7-8 group","C",3,"Female","Strong Evidence",1
"348",648,35,"7-8 group","C",4,"Female","Strong Evidence",1
"349",649,35,"7-8 group","C",5,"Female","Counter Evidence",1
"350",650,35,"7-8 group","C",6,"Female","Counter Evidence",1
"351",321,36,"5-6 group","B",NA,"Female","Action Possible",1
"352",322,36,"5-6 group","B",NA,"Female","Action Impossible",0
"353",323,36,"5-6 group","B",NA,"Female","Action Impossible",0
"354",324,36,"5-6 group","B",NA,"Female","Action Possible",1
"355",325,36,"5-6 group","B",1,"Female","No Evidence",1
"356",326,36,"5-6 group","B",2,"Female","No Evidence",1
"357",327,36,"5-6 group","B",3,"Female","Strong Evidence",1
"358",328,36,"5-6 group","B",4,"Female","Strong Evidence",1
"359",329,36,"5-6 group","B",5,"Female","Counter Evidence",1
"360",330,36,"5-6 group","B",6,"Female","Counter Evidence",1
"361",471,37,"5-6 group","C",NA,"Female","Action Possible",1
"362",472,37,"5-6 group","C",NA,"Female","Action Impossible",0
"363",473,37,"5-6 group","C",NA,"Female","Action Impossible",0
"364",474,37,"5-6 group","C",NA,"Female","Action Possible",1
"365",475,37,"5-6 group","C",1,"Female","No Evidence",1
"366",476,37,"5-6 group","C",2,"Female","No Evidence",1
"367",477,37,"5-6 group","C",3,"Female","Strong Evidence",1
"368",478,37,"5-6 group","C",4,"Female","Strong Evidence",0
"369",479,37,"5-6 group","C",5,"Female","Counter Evidence",1
"370",480,37,"5-6 group","C",6,"Female","Counter Evidence",1
"371",1,38,"5-6 group","A",NA,"Female","Action Possible",1
"372",2,38,"5-6 group","A",NA,"Female","Action Impossible",0
"373",3,38,"5-6 group","A",NA,"Female","Action Impossible",0
"374",4,38,"5-6 group","A",NA,"Female","Action Possible",1
"375",5,38,"5-6 group","A",1,"Female","No Evidence",1
"376",6,38,"5-6 group","A",2,"Female","No Evidence",1
"377",7,38,"5-6 group","A",3,"Female","Strong Evidence",0
"378",8,38,"5-6 group","A",4,"Female","Strong Evidence",0
"379",9,38,"5-6 group","A",5,"Female","Counter Evidence",1
"380",10,38,"5-6 group","A",6,"Female","Counter Evidence",1
"381",31,39,"7-8 group","B",NA,"Male","Action Possible",1
"382",32,39,"7-8 group","B",NA,"Male","Action Impossible",0
"383",33,39,"7-8 group","B",NA,"Male","Action Impossible",0
"384",34,39,"7-8 group","B",NA,"Male","Action Possible",1
"385",35,39,"7-8 group","B",1,"Male","No Evidence",1
"386",36,39,"7-8 group","B",2,"Male","No Evidence",1
"387",37,39,"7-8 group","B",3,"Male","Strong Evidence",1
"388",38,39,"7-8 group","B",4,"Male","Strong Evidence",1
"389",39,39,"7-8 group","B",5,"Male","Counter Evidence",1
"390",40,39,"7-8 group","B",6,"Male","Counter Evidence",1
"391",461,40,"7-8 group","C",NA,"Female","Action Possible",1
"392",462,40,"7-8 group","C",NA,"Female","Action Impossible",0
"393",463,40,"7-8 group","C",NA,"Female","Action Impossible",0
"394",464,40,"7-8 group","C",NA,"Female","Action Possible",1
"395",465,40,"7-8 group","C",1,"Female","No Evidence",1
"396",466,40,"7-8 group","C",2,"Female","No Evidence",1
"397",467,40,"7-8 group","C",3,"Female","Strong Evidence",1
"398",468,40,"7-8 group","C",4,"Female","Strong Evidence",1
"399",469,40,"7-8 group","C",5,"Female","Counter Evidence",1
"400",470,40,"7-8 group","C",6,"Female","Counter Evidence",1
"401",251,41,"5-6 group","B",NA,"Female","Action Possible",1
"402",252,41,"5-6 group","B",NA,"Female","Action Impossible",0
"403",253,41,"5-6 group","B",NA,"Female","Action Impossible",0
"404",254,41,"5-6 group","B",NA,"Female","Action Possible",1
"405",255,41,"5-6 group","B",1,"Female","No Evidence",1
"406",256,41,"5-6 group","B",2,"Female","No Evidence",1
"407",257,41,"5-6 group","B",3,"Female","Strong Evidence",1
"408",258,41,"5-6 group","B",4,"Female","Strong Evidence",1
"409",259,41,"5-6 group","B",5,"Female","Counter Evidence",1
"410",260,41,"5-6 group","B",6,"Female","Counter Evidence",1
"411",211,42,"7-8 group","A",NA,"Female","Action Possible",1
"412",212,42,"7-8 group","A",NA,"Female","Action Impossible",0
"413",213,42,"7-8 group","A",NA,"Female","Action Impossible",0
"414",214,42,"7-8 group","A",NA,"Female","Action Possible",1
"415",215,42,"7-8 group","A",1,"Female","No Evidence",1
"416",216,42,"7-8 group","A",2,"Female","No Evidence",1
"417",217,42,"7-8 group","A",3,"Female","Strong Evidence",0
"418",218,42,"7-8 group","A",4,"Female","Strong Evidence",0
"419",219,42,"7-8 group","A",5,"Female","Counter Evidence",1
"420",220,42,"7-8 group","A",6,"Female","Counter Evidence",1
"421",761,43,"7-8 group","A",NA,"Female","Action Possible",1
"422",762,43,"7-8 group","A",NA,"Female","Action Impossible",0
"423",763,43,"7-8 group","A",NA,"Female","Action Impossible",0
"424",764,43,"7-8 group","A",NA,"Female","Action Possible",1
"425",765,43,"7-8 group","A",1,"Female","No Evidence",1
"426",766,43,"7-8 group","A",2,"Female","No Evidence",1
"427",767,43,"7-8 group","A",3,"Female","Strong Evidence",1
"428",768,43,"7-8 group","A",4,"Female","Strong Evidence",1
"429",769,43,"7-8 group","A",5,"Female","Counter Evidence",1
"430",770,43,"7-8 group","A",6,"Female","Counter Evidence",1
"431",101,44,"5-6 group","C",NA,"Female","Action Possible",1
"432",102,44,"5-6 group","C",NA,"Female","Action Impossible",0
"433",103,44,"5-6 group","C",NA,"Female","Action Impossible",0
"434",104,44,"5-6 group","C",NA,"Female","Action Possible",1
"435",105,44,"5-6 group","C",1,"Female","No Evidence",1
"436",106,44,"5-6 group","C",2,"Female","No Evidence",1
"437",107,44,"5-6 group","C",3,"Female","Strong Evidence",1
"438",108,44,"5-6 group","C",4,"Female","Strong Evidence",1
"439",109,44,"5-6 group","C",5,"Female","Counter Evidence",1
"440",110,44,"5-6 group","C",6,"Female","Counter Evidence",1
"441",141,45,"5-6 group","A",NA,"Female","Action Possible",1
"442",142,45,"5-6 group","A",NA,"Female","Action Impossible",0
"443",143,45,"5-6 group","A",NA,"Female","Action Impossible",0
